"","word","count"
"1","apartment",40184
"2","beautiful",11413
"3","bed",9823
"4","boston",49437
"5","check",13918
"6","city",10078
"7","clean",43136
"8","close",18710
"9","comfortable",25332
"10","easy",23019
"11","helpful",11048
"12","highly",11030
"13","home",17442
"14","host",26413
"15","house",17450
"16","location",46947
"17","neighborhood",13653
"18","nice",27851
"19","perfect",19357
"20","quiet",11997
"21","recommend",22321
"22","restaurants",13837
"23","space",12903
"24","stay",60178
"25","staying",10182
"26","super",11125
"27","time",15327
"28","walk",16949
"29","walking",10544
"30","wonderful",10696
